:nemesis	:info	:start-partition	:majorities-ring
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"16845204028197320005063564268253283594"
1	:ok	:generate	"16845204028199040007660137866008615131"
1	:invoke	:generate	nil
:nemesis	:info	:start-partition	[:isolated {"n2" #{"n1"}, "n1" #{"n0"}, "n0" #{"n2"}}]
0	:ok	:generate	"16845204028224700001058086317540845894"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"16845204028266060007020476783913008603"
1	:invoke	:generate	nil
0	:ok	:generate	"16845204028307980006248655573224367393"
0	:invoke	:generate	nil
2	:ok	:generate	"16845204028315650002767963104510495850"
1	:ok	:generate	"1684520402833407000246470932038389934"
1	:invoke	:generate	nil
0	:ok	:generate	"16845204028355550007141846710254549512"
2	:invoke	:generate	nil
1	:ok	:generate	"16845204028379220007693419562061870021"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
2	:ok	:generate	"16845204028395960008747576962507475532"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520402842755000823277406748723510"
0	:invoke	:generate	nil
1	:ok	:generate	"16845204028436340001523039245463208697"
1	:invoke	:generate	nil
2	:ok	:generate	"16845204028459310001985513100803202771"
2	:invoke	:generate	nil
1	:ok	:generate	"16845204028491090005970639645851207932"
1	:invoke	:generate	nil
0	:ok	:generate	"16845204028498830001535709526990595561"
2	:ok	:generate	"1684520402852037000692650776766450138"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"16845204028541650008238844335702829295"
1	:invoke	:generate	nil
2	:ok	:generate	"16845204028564340003317123228002434921"
0	:ok	:generate	"1684520402856435000828432331627266531"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"16845204028589850001111260054104344101"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520402861722000375329382852259806"
2	:invoke	:generate	nil
0	:ok	:generate	"16845204028629030003401682446558499008"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520402867172000624093315508277143"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520402869216000849965048502982284"
2	:invoke	:generate	nil
0	:ok	:generate	"16845204028709220006710541746962476145"
0	:invoke	:generate	nil
1	:ok	:generate	"16845204028725430007590062281132774199"
1	:invoke	:generate	nil
2	:ok	:generate	"16845204028738460004084059051154189112"
0	:ok	:generate	"16845204028754620009100266986155307373"
2	:invoke	:generate	nil
1	:ok	:generate	"16845204028761920006324367860142861493"
0	:invoke	:generate	nil
2	:ok	:generate	"16845204028783430006139210034824326557"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"16845204028806470005090192489061418635"
0	:invoke	:generate	nil
1	:ok	:generate	"16845204028839720007636405649425738284"
1	:invoke	:generate	nil
2	:ok	:generate	"1684520402884887000793582139565864309"
2	:invoke	:generate	nil
0	:ok	:generate	"16845204028859070006551897927459546530"
0	:invoke	:generate	nil
1	:ok	:generate	"16845204028888560008225131642409871945"
1	:invoke	:generate	nil
2	:ok	:generate	"16845204028918700005414325616963926335"
2	:invoke	:generate	nil
0	:ok	:generate	"16845204028937140005995233134911335044"
0	:invoke	:generate	nil
1	:ok	:generate	"16845204028974990006911496717286557270"
1	:invoke	:generate	nil
2	:ok	:generate	"16845204028991910005467140354654031246"
2	:invoke	:generate	nil
0	:ok	:generate	"16845204029000700005267525534037623506"
0	:invoke	:generate	nil
1	:ok	:generate	"16845204029024640003983834714277563395"
1	:invoke	:generate	nil
2	:ok	:generate	"16845204029039660002562305928627863217"
2	:invoke	:generate	nil
0	:ok	:generate	"1684520402904533000553292154630617290"
0	:invoke	:generate	nil
1	:ok	:generate	"1684520402907669000659020739536021086"
2	:ok	:generate	"16845204029084620008146074256631130761"
1	:invoke	:generate	nil
0	:ok	:generate	"16845204029094630001688872771762136951"
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"16845204029119600001561526898893254784"
1	:invoke	:generate	nil
0	:ok	:generate	"1684520402916428000829118778287475321"
2	:ok	:generate	"16845204029168850007914133510915175206"
0	:invoke	:generate	nil
1	:ok	:generate	"16845204029186400006489944872323581619"
1	:invoke	:generate	nil
0	:ok	:generate	"16845204029196520007393800959196160846"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
1	:ok	:generate	"16845204029223520006558648551895760140"
2	:ok	:generate	"1684520402922414000820260774624002789"
1	:invoke	:generate	nil
0	:ok	:generate	"16845204029247040002265769875161407909"
0	:invoke	:generate	nil
2	:invoke	:generate	nil
1	:ok	:generate	"16845204029277620006656715546971857212"
1	:invoke	:generate	nil
0	:ok	:generate	"16845204029291840005513623928043319620"
0	:invoke	:generate	nil
1	:ok	:generate	"16845204029309120005756671047527860738"
1	:invoke	:generate	nil
2	:ok	:generate	"16845204029307700002275047573657176216"
2	:invoke	:generate	nil
0	:ok	:generate	"16845204029321680003350288558913678692"
1	:ok	:generate	"16845204029329030005508857844360352958"
0	:invoke	:generate	nil
2	:ok	:generate	"16845204029338260003582976563009108894"
1	:invoke	:generate	nil
0	:ok	:generate	"1684520402935155000938149627294866549"
0	:invoke	:generate	nil
1	:ok	:generate	"16845204029355530005124076281028544086"
1	:invoke	:generate	nil
2	:invoke	:generate	nil
0	:ok	:generate	"16845204029370060001700042397241751379"
1	:ok	:generate	"16845204029382720008202948843537271515"
2	:ok	:generate	"16845204029384570003257187528521947992"
0	:invoke	:generate	nil
1	:invoke	:generate	nil
0	:ok	:generate	"16845204029408760006389719890518131155"
2	:invoke	:generate	nil
1	:ok	:generate	"16845204029430000007442581214806685533"
2	:ok	:generate	"16845204029441980008072621584552853105"
2	:invoke	:generate	nil
0	:invoke	:generate	nil
2	:ok	:generate	"16845204029458890009081324999816839068"
1	:invoke	:generate	nil
0	:ok	:generate	"16845204029476180005685080480089742043"
1	:ok	:generate	"16845204029488000005953077218749092283"
